Date,County,Total,Serious(Hospitalized),Dead
20.03.2020,Worcester,19,,0
21.03.2020,Barnstable,11,,0
21.03.2020,Berkshire,21,,0
21.03.2020,Bristol,14,,0
21.03.2020,Essex,41,,0
21.03.2020,Franklin,2,,0
21.03.2020,Hampden,9,,0
21.03.2020,Hampshire,2,,0
21.03.2020,Middlesex,177,,1
21.03.2020,Nantucket,1,,0
21.03.2020,Norfolk,69,,0
21.03.2020,Plymouth,20,,0
21.03.2020,Suffolk,108,,1
21.03.2020,Unknown,26,,0
21.03.2020,Worcester,24,,0
22.03.2020,Barnstable,24,,0
22.03.2020,Berkshire,23,,1
22.03.2020,Bristol,24,,0
22.03.2020,Essex,60,,0
22.03.2020,Franklin,2,,0
22.03.2020,Hampden,12,,1
22.03.2020,Hampshire,4,,0
22.03.2020,Middlesex,199,,1
22.03.2020,Nantucket,1,,0
22.03.2020,Norfolk,75,,0
22.03.2020,Plymouth,25,,0
22.03.2020,Suffolk,126,,2
22.03.2020,Unknown,34,,0
22.03.2020,Worcester,37,,0
23.03.2020,Barnstable,30,,0
23.03.2020,Berkshire,26,,1
23.03.2020,Bristol,25,,0
23.03.2020,Essex,73,,1
23.03.2020,Franklin,2,,0
23.03.2020,Hampden,15,,1
23.03.2020,Hampshire,6,,0
23.03.2020,Middlesex,232,,1
23.03.2020,Nantucket,1,,0
23.03.2020,Norfolk,82,,1
23.03.2020,Plymouth,32,,0
23.03.2020,Suffolk,154,,3
23.03.2020,Unknown,57,,0
23.03.2020,Worcester,42,,1
24.03.2020,Barnstable,40,,0
24.03.2020,Berkshire,37,,2
24.03.2020,Bristol,31,,0
24.03.2020,Essex,118,,1
24.03.2020,Franklin,5,,0
24.03.2020,Hampden,24,,1
24.03.2020,Hampshire,8,,0
24.03.2020,Middlesex,304,,2
24.03.2020,Nantucket,2,,0
24.03.2020,Norfolk,129,,1
24.03.2020,Plymouth,64,,0
24.03.2020,Suffolk,234,,3
24.03.2020,Unknown,90,,0
24.03.2020,Worcester,73,,1
25.03.2020,Barnstable,51,,1
25.03.2020,Berkshire,71,,2
25.03.2020,Bristol,67,,0
25.03.2020,Dukes,1,,0
25.03.2020,Essex,177,,1
25.03.2020,Franklin,14,,0
25.03.2020,Hampden,45,,1
25.03.2020,Hampshire,11,,0
25.03.2020,Middlesex,446,,2
25.03.2020,Nantucket,2,,0
25.03.2020,Norfolk,222,,2
25.03.2020,Plymouth,101,,0
25.03.2020,Suffolk,342,,3
25.03.2020,Unknown,159,,0
25.03.2020,Worcester,129,,3
26.03.2020,Barnstable,67,,1
26.03.2020,Berkshire,73,,2
26.03.2020,Bristol,90,,0
26.03.2020,Dukes,1,,0
26.03.2020,Essex,247,,3
26.03.2020,Franklin,16,,1
26.03.2020,Hampden,55,,2
26.03.2020,Hampshire,17,,0
26.03.2020,Middlesex,538,,5
26.03.2020,Nantucket,2,,0
26.03.2020,Norfolk,292,,3
26.03.2020,Plymouth,138,,0
26.03.2020,Suffolk,448,,4
26.03.2020,Unknown,267,,0
26.03.2020,Worcester,166,,4
27.03.2020,Barnstable,100,,2
27.03.2020,Berkshire,105,,4
27.03.2020,Bristol,129,,1
27.03.2020,Dukes,1,,0
27.03.2020,Essex,350,,3
27.03.2020,Franklin,24,,2
27.03.2020,Hampden,90,,2
27.03.2020,Hampshire,20,,0
27.03.2020,Middlesex,685,,6
27.03.2020,Nantucket,2,,0
27.03.2020,Norfolk,393,,7
27.03.2020,Plymouth,187,,0
27.03.2020,Suffolk,631,,4
27.03.2020,Unknown,304,,0
27.03.2020,Worcester,219,,4
28.03.2020,Barnstable,133,,2
28.03.2020,Berkshire,119,,4
28.03.2020,Bristol,179,,1
28.03.2020,Dukes,1,,0
28.03.2020,Essex,472,,4
28.03.2020,Franklin,39,,2
28.03.2020,Hampden,183,,5
28.03.2020,Hampshire,30,,0
28.03.2020,Middlesex,842,,6
28.03.2020,Nantucket,5,,0
28.03.2020,Norfolk,490,,9
28.03.2020,Plymouth,272,,0
28.03.2020,Suffolk,843,,5
28.03.2020,Unknown,358,,0
28.03.2020,Worcester,291,,6
29.03.2020,Barnstable,148,,2
29.03.2020,Berkshire,151,,5
29.03.2020,Bristol,208,,1
29.03.2020,Dukes,1,,0
29.03.2020,Essex,570,,5
29.03.2020,Franklin,41,,2
29.03.2020,Hampden,201,,5
29.03.2020,Hampshire,37,,0
29.03.2020,Middlesex,981,,7
29.03.2020,Nantucket,5,,0
29.03.2020,Norfolk,548,,10
29.03.2020,Plymouth,325,,0
29.03.2020,Suffolk,940,,5
29.03.2020,Unknown,462,,0
