Date,County,Total,Serious(Hospitalized),Dead
30.04.2020,Worcester,5550,357,265
01.05.2020,Barnstable,902,20,45
01.05.2020,Berkshire,444,7,36
01.05.2020,Bristol,3792,261,182
01.05.2020,Dukes,18,0,1
01.05.2020,Essex,9028,337,460
01.05.2020,Franklin,260,7,37
01.05.2020,Hampden,3900,189,381
01.05.2020,Hampshire,518,25,32
01.05.2020,Middlesex,14607,691,885
01.05.2020,Nantucket,11,0,0
01.05.2020,Norfolk,6065,249,522
01.05.2020,Plymouth,5259,249,301
01.05.2020,Suffolk,13295,1326,550
01.05.2020,Unknown,425,,6
01.05.2020,Worcester,5787,351,278
02.05.2020,Barnstable,937,22,46
02.05.2020,Berkshire,448,7,36
02.05.2020,Bristol,3916,220,187
02.05.2020,Dukes,18,0,1
02.05.2020,Essex,9362,347,484
02.05.2020,Franklin,263,6,37
02.05.2020,Hampden,4003,189,387
02.05.2020,Hampshire,549,22,33
02.05.2020,Middlesex,15048,480,923
02.05.2020,Nantucket,11,0,0
02.05.2020,Norfolk,6187,235,535
02.05.2020,Plymouth,5409,246,312
02.05.2020,Suffolk,13606,1291,569
02.05.2020,Unknown,377,,5
02.05.2020,Worcester,6129,351,292
03.05.2020,Barnstable,946,19,47
03.05.2020,Berkshire,451,8,36
03.05.2020,Bristol,4019,236,198
03.05.2020,Dukes,21,0,1
03.05.2020,Essex,9542,360,499
03.05.2020,Franklin,269,3,37
03.05.2020,Hampden,4066,180,398
03.05.2020,Hampshire,559,29,36
03.05.2020,Middlesex,15370,686,972
03.05.2020,Nantucket,11,0,0
03.05.2020,Norfolk,6280,216,550
03.05.2020,Plymouth,5507,234,323
03.05.2020,Suffolk,13777,1298,588
03.05.2020,Unknown,981,,7
03.05.2020,Worcester,6288,348,312
04.05.2020,Barnstable,961,21,47
04.05.2020,Berkshire,453,7,36
04.05.2020,Bristol,4103,231,205
04.05.2020,Dukes,21,0,1
04.05.2020,Essex,9773,359,512
04.05.2020,Franklin,273,7,37
04.05.2020,Hampden,4114,175,408
04.05.2020,Hampshire,563,24,36
04.05.2020,Middlesex,15757,662,997
04.05.2020,Nantucket,11,0,0
04.05.2020,Norfolk,6382,209,555
04.05.2020,Plymouth,5602,238,333
04.05.2020,Suffolk,13941,1267,596
04.05.2020,Unknown,662,,7
04.05.2020,Worcester,6471,339,320
