Forecast Day,Quantile,Hidden,Hospital,Fatality,Mild,Cases
May-3,0.05,3426,2299,3250,8025,55335
May-3,0.5,4577,3006,3879,10504,66812
May-3,0.95,5705,3638,4579,12887,78253
May-4,0.05,3343,2228,3351,7742,56424
May-4,0.5,4450,2916,4001,10210,68152
May-4,0.95,5599,3559,4730,12547,79744
May-5,0.05,3215,2175,3450,7509,57287
May-5,0.5,4343,2829,4120,9923,69489
May-5,0.95,5372,3465,4886,12215,81494
May-6,0.05,3151,2091,3530,7327,58297
May-6,0.5,4206,2752,4233,9594,70690
May-6,0.95,5292,3357,5032,11831,83034
May-7,0.05,3066,2017,3624,7022,59287
May-7,0.5,4111,2681,4354,9339,71922
May-7,0.95,5192,3299,5173,11538,84423
May-8,0.05,2920,1962,3704,6812,60211
May-8,0.5,4013,2603,4467,9109,73089
May-8,0.95,5028,3252,5314,11239,85831
May-9,0.05,2885,1907,3755,6709,61152
May-9,0.5,3909,2530,4576,8830,74244
May-9,0.95,4878,3148,5441,10919,87313
May-10,0.05,2763,1852,3871,6508,62054
May-10,0.5,3819,2462,4680,8607,75392
May-10,0.95,4777,3056,5552,10630,88695
May-11,0.05,2708,1793,3928,6328,62941
May-11,0.5,3727,2405,4778,8353,76414
May-11,0.95,4654,2986,5625,10387,90001
May-12,0.05,2596,1740,4032,6125,63790
May-12,0.5,3618,2336,4879,8149,77431
May-12,0.95,4517,2911,5775,10105,91265
May-13,0.05,2583,1666,4113,5975,64582
May-13,0.5,3495,2278,4978,7942,78530
May-13,0.95,4418,2861,5901,9906,92597
May-14,0.05,2505,1631,4177,5791,65335
May-14,0.5,3417,2219,5073,7754,79507
May-14,0.95,4286,2797,6015,9718,94001
May-15,0.05,2428,1582,4255,5658,66056
May-15,0.5,3328,2164,5165,7526,80482
May-15,0.95,4188,2729,6141,9356,94945
May-16,0.05,2372,1495,4309,5460,66730
May-16,0.5,3245,2104,5259,7334,81523
May-16,0.95,4123,2641,6221,9158,96241
May-17,0.05,2312,1491,4394,5343,67607
May-17,0.5,3170,2052,5347,7134,82585
May-17,0.95,4033,2576,6350,8879,97297
May-18,0.05,2260,1440,4400,5091,68270
May-18,0.5,3078,1985,5434,6965,83503
May-18,0.95,3917,2503,6463,8660,98793
May-19,0.05,2164,1420,4471,4930,68928
May-19,0.5,3006,1931,5515,6808,84355
May-19,0.95,3891,2443,6572,8495,99836
May-20,0.05,2118,1404,4523,4862,69545
May-20,0.5,2926,1888,5593,6615,85073
May-20,0.95,3751,2372,6667,8260,100422
May-21,0.05,2068,1358,4582,4755,70178
May-21,0.5,2852,1837,5666,6450,86054
May-21,0.95,3673,2318,6719,8125,101857
May-22,0.05,2013,1325,4634,4608,70742
May-22,0.5,2767,1792,5742,6255,86825
May-22,0.95,3586,2268,6821,7886,102817
May-23,0.05,1960,1295,4703,4454,71316
May-23,0.5,2698,1744,5820,6100,87586
May-23,0.95,3515,2224,6951,7709,103764
May-24,0.05,1868,1259,4752,4365,71849
May-24,0.5,2634,1700,5895,5936,88363
May-24,0.95,3475,2169,7033,7508,105246
May-25,0.05,1855,1225,4838,4259,72417
May-25,0.5,2561,1660,5964,5772,89114
May-25,0.95,3371,2124,7131,7324,106183
May-26,0.05,1802,1177,4879,4118,72945
May-26,0.5,2497,1617,6028,5619,89868
May-26,0.95,3266,2081,7195,7173,107087
May-27,0.05,1742,1135,4934,3983,73462
May-27,0.5,2438,1580,6103,5488,90640
May-27,0.95,3216,2041,7262,7045,107959
May-28,0.05,1665,1107,4982,3878,73971
May-28,0.5,2357,1526,6164,5338,91358
May-28,0.95,3123,1986,7357,6876,108794
May-29,0.05,1597,1084,5023,3762,74167
May-29,0.5,2314,1481,6222,5198,92113
May-29,0.95,3047,1933,7440,6706,109628
May-30,0.05,1550,1051,5065,3662,74957
May-30,0.5,2242,1453,6283,5060,92883
May-30,0.95,2988,1876,7503,6570,110894
May-31,0.05,1496,1010,5109,3554,75397
May-31,0.5,2186,1408,6351,4938,93485
May-31,0.95,2912,1830,7591,6400,111659
Jun-1,0.05,1462,990,5145,3425,75810
Jun-1,0.5,2131,1380,6407,4806,94124
Jun-1,0.95,2846,1798,7660,6332,112805
Jun-2,0.05,1423,953,5177,3332,76243
Jun-2,0.5,2101,1334,6474,4680,94638
Jun-2,0.95,2792,1760,7749,6142,113909
Jun-3,0.05,1394,933,5218,3191,76637
Jun-3,0.5,2050,1305,6525,4586,95224
Jun-3,0.95,2741,1718,7792,6014,114597
Jun-4,0.05,1356,902,5293,3086,77034
Jun-4,0.5,1976,1271,6589,4446,95815
Jun-4,0.95,2672,1674,7862,5865,115257
Jun-5,0.05,1318,878,5328,3055,77450
Jun-5,0.5,1919,1243,6650,4327,96296
Jun-5,0.95,2605,1624,7953,5769,115419
Jun-6,0.05,1276,862,5363,2952,77819
Jun-6,0.5,1862,1211,6696,4229,96779
Jun-6,0.95,2563,1607,8029,5615,116160
Jun-7,0.05,1223,826,5398,2812,78225
Jun-7,0.5,1822,1183,6756,4141,97399
Jun-7,0.95,2526,1545,8082,5513,117314
Jun-8,0.05,1197,795,5435,2734,78594
Jun-8,0.5,1776,1150,6801,4015,97868
Jun-8,0.95,2475,1509,8144,5363,118127
Jun-9,0.05,1168,777,5470,2655,78930
Jun-9,0.5,1727,1105,6849,3917,98409
Jun-9,0.95,2404,1483,8212,5255,118664
Jun-10,0.05,1140,743,5496,2577,79275
Jun-10,0.5,1685,1082,6885,3801,98869
Jun-10,0.95,2366,1438,8282,5129,119916
Jun-11,0.05,1087,723,5523,2521,79922
Jun-11,0.5,1639,1054,6927,3717,99265
Jun-11,0.95,2298,1422,8331,5053,119615
Jun-12,0.05,1069,705,5551,2472,80260
Jun-12,0.5,1609,1024,6961,3611,99815
Jun-12,0.95,2240,1407,8369,4934,120697
Jun-13,0.05,1044,688,5579,2405,80547
Jun-13,0.5,1555,1005,7003,3504,100176
Jun-13,0.95,2210,1385,8425,4855,120675
Jun-14,0.05,1026,667,5606,2326,80900
Jun-14,0.5,1513,985,7042,3417,100708
Jun-14,0.95,2129,1344,8463,4739,122063
Jun-15,0.05,1005,654,5636,2264,81200
Jun-15,0.5,1470,950,7078,3349,101156
Jun-15,0.95,2107,1319,8478,4627,122599
Jun-16,0.05,960,629,5661,2190,81500
Jun-16,0.5,1429,934,7118,3258,101572
Jun-16,0.95,2056,1287,8573,4507,123140
Jun-17,0.05,949,610,5686,2145,81792
Jun-17,0.5,1403,904,7153,3171,102006
Jun-17,0.95,2013,1262,8615,4409,123656
Jun-18,0.05,924,601,5707,2080,82093
Jun-18,0.5,1373,882,7181,3081,102340
Jun-18,0.95,1966,1245,8638,4305,123862
Jun-19,0.05,898,582,5738,2047,82417
Jun-19,0.5,1336,856,7233,2988,102704
Jun-19,0.95,1904,1207,8720,4213,124645
Jun-20,0.05,872,567,5761,1998,82694
Jun-20,0.5,1302,838,7265,2913,103084
Jun-20,0.95,1871,1177,8760,4099,125136
Jun-21,0.05,837,551,5787,1940,82970
Jun-21,0.5,1274,812,7300,2842,103500
Jun-21,0.95,1832,1158,8821,4017,125583
Jun-22,0.05,821,534,5811,1911,83238
Jun-22,0.5,1233,795,7335,2768,103863
Jun-22,0.95,1807,1120,8880,3904,126383
Jun-23,0.05,808,525,5832,1843,83517
Jun-23,0.5,1206,780,7372,2707,104316
Jun-23,0.95,1760,1086,8935,3816,126861
Jun-24,0.05,788,512,5845,1787,83778
Jun-24,0.5,1167,757,7398,2645,104643
Jun-24,0.95,1740,1055,8937,3731,127621
Jun-25,0.05,756,499,5871,1741,83664
Jun-25,0.5,1141,739,7413,2575,105079
Jun-25,0.95,1673,1043,9007,3643,127785
Jun-26,0.05,715,474,5883,1705,83950
Jun-26,0.5,1115,715,7435,2508,105423
Jun-26,0.95,1635,1016,9008,3594,128262
Jun-27,0.05,709,463,5907,1633,84206
Jun-27,0.5,1086,695,7460,2445,105689
Jun-27,0.95,1625,999,9083,3506,128713
Jun-28,0.05,675,454,5930,1592,84455
Jun-28,0.5,1061,685,7488,2374,105989
Jun-28,0.95,1571,989,9117,3421,128566
Jun-29,0.05,663,443,5953,1539,84694
Jun-29,0.5,1037,673,7514,2321,106262
Jun-29,0.95,1538,973,9150,3328,129591
Jun-30,0.05,652,432,5971,1488,84935
Jun-30,0.5,999,652,7559,2252,106524
Jun-30,0.95,1516,952,9180,3275,130043
Jul-1,0.05,619,425,5992,1458,85152
Jul-1,0.5,977,638,7588,2205,106908
Jul-1,0.95,1492,938,9217,3172,130440
Jul-2,0.05,621,407,6014,1410,85362
Jul-2,0.5,950,621,7606,2157,107197
Jul-2,0.95,1460,896,9262,3112,130813
Jul-3,0.05,587,399,6039,1375,85570
Jul-3,0.5,927,604,7639,2083,107537
Jul-3,0.95,1428,887,9292,3048,130915
Jul-4,0.05,576,389,6055,1329,85770
Jul-4,0.5,904,586,7662,2031,107693
Jul-4,0.95,1383,874,9320,2999,130720
Jul-5,0.05,568,378,6075,1284,85989
Jul-5,0.5,879,570,7696,1986,108003
Jul-5,0.95,1363,846,9351,2943,131679
Jul-6,0.05,547,367,6100,1245,86148
Jul-6,0.5,858,557,7710,1928,108317
Jul-6,0.95,1331,822,9393,2835,131428
Jul-7,0.05,518,361,6115,1219,86335
Jul-7,0.5,835,542,7729,1867,108614
Jul-7,0.95,1330,807,9410,2808,132363
Jul-8,0.05,497,352,6132,1180,86520
Jul-8,0.5,810,525,7758,1820,108921
Jul-8,0.95,1277,796,9443,2781,132715
Jul-9,0.05,484,341,6175,1156,86682
Jul-9,0.5,794,512,7779,1773,109156
Jul-9,0.95,1230,780,9428,2716,133028
Jul-10,0.05,462,327,6165,1123,86857
Jul-10,0.5,772,499,7807,1741,109407
Jul-10,0.95,1205,759,9500,2672,133667
Jul-11,0.05,443,313,6137,1088,87032
Jul-11,0.5,752,483,7833,1692,109666
Jul-11,0.95,1204,740,9534,2598,133707
Jul-12,0.05,425,301,6152,1053,87194
Jul-12,0.5,731,469,7852,1648,109855
Jul-12,0.95,1156,721,9561,2523,133447
Jul-13,0.05,417,289,6212,1027,87351
Jul-13,0.5,716,461,7876,1599,110162
Jul-13,0.95,1167,709,9564,2481,134003
Jul-14,0.05,408,283,6278,991,87526
Jul-14,0.5,703,444,7890,1559,110413
Jul-14,0.95,1113,711,9553,2437,134333
